Authors,Title,Source,Year,Volume,Issue,Pages,DOI,Citations,core_paper
Bogowicz P; Curtis HJ; Walker AJ; Cowen P; Geddes J; Goldacre B,Trends and variation in antidepressant prescribing in English primary care: a retrospective longitudinal study.,BJGP Open,2021,5,4,,pii: BJGPO.2021.0020. doi: 10.3399/BJGPO.2021.0020,19,1
Ferro CJ; Solkhon F; Jalal Z; Al-Hamid AM; Jones AM,Relevance of physicochemical properties and functional pharmacology data to predict the clinical safety profile of direct oral anticoagulants.,Pharmacol Res Perspect,2020,8,3,e00603,doi: 10.1002/prp2.603,11,0
Gulliford M,"Opioid use, chronic pain and deprivation.",EClinicalMedicine,2020,21,,100341,doi: 10.1016/j.eclinm.2020.100341,3,0
Curtis HJ; Walker AJ; Goldacre B,Impact of NICE guidance on tamoxifen prescribing in England 2011-2017: an interrupted time series analysis.,Br J Cancer,2018,118,9,1268-1275,doi: 10.1038/s41416-018-0065-2,14,1
Campbell A; Borek AJ; McLeod M; Tonkin-Crine S; Pouwels KB; Roope LS; Hayhoe BW; Majeed A; Walker AS; Holmes A; STEP-UP team,Impact of the COVID-19 pandemic on antimicrobial stewardship support for general practices in England: a qualitative interview study.,BJGP Open,2023,7,3,,pii: BJGPO.2022.0193. doi: 10.3399/BJGPO.2022.0193,2,0
Bradley SH; Lawrence NR; Carder P,Using primary care data for health research in England - an overview.,Future Healthc J,2018,5,3,207-212,doi: 10.7861/futurehosp.5-3-207,20,0
Twigg AJ; Wilkinson A; Smith JN,Local variation in low carbon footprint inhalers in pre-COVID pandemic primary care prescribing guidelines for adult asthma in England and its potential impact.,Br J Clin Pharmacol,2022,88,12,5083-5092,doi: 10.1111/bcp.15511,2,0
Irvine A; Watt J; Kurth MJ; Lamont JV; Fitzgerald P; Ruddock MW,The Importance of Diagnostics in the Treatment of Urinary Tract Infections in the United Kingdom.,Res Rep Urol,2024,16,,327-335,doi: 10.2147/RRU.S483147,1,0
MacKenna B; Curtis HJ; Hopcroft LEM; Walker AJ; Croker R; Macdonald O; Evans SJW; Inglesby P; Evans D; Morley J; Bacon SCJ; Goldacre B,Identifying Patterns of Clinical Interest in Clinicians' Treatment Preferences: Hypothesis-free Data Science Approach to Prioritizing Prescribing Outliers for Clinical Review.,JMIR Med Inform,2022,10,12,e41200,doi: 10.2196/41200,1,1
Walker AJ; Curtis HJ; Bacon S; Croker R; Goldacre B,Trends and variation in prescribing of low-priority treatments identified by NHS England: a cross-sectional study and interactive data tool in English primary care.,J R Soc Med,2018,111,6,203-213,doi: 10.1177/0141076818769408,12,1
Walker AJ; Bacon S; Croker R; Goldacre B,Detecting change in comparison to peers in NHS prescribing data: a novel application of cumulative sum methodology.,BMC Med Inform Decis Mak,2018,18,1,62,doi: 10.1186/s12911-018-0642-6,4,1
Barrett R; Barrett R; Dhar K; Birch B,Gonadorelins adherence in prostate cancer: A time-series analysis of England's national prescriptions during the COVID-19 pandemic (from Jan 2019 to Oct 2020).,BJUI Compass,2021,2,6,419-427,doi: 10.1002/bco2.101,7,0
O'Sullivan JW; Stevens S; Hobbs FDR; Salisbury C; Little P; Goldacre B; Bankhead C; Aronson JK; Perera R; Heneghan C,"Temporal trends in use of tests in UK primary care, 2000-15: retrospective analysis of 250 million tests.",BMJ,2018,363,,k4666,doi: 10.1136/bmj.k4666,61,0
Gonem S; Cumella A; Richardson M,Asthma admission rates and patterns of salbutamol and inhaled corticosteroid prescribing in England from 2013 to 2017.,Thorax,2019,74,7,705-706,doi: 10.1136/thoraxjnl-2018-212723,8,0
Mokbel K; Daniels R; Weedon MN; Jackson L,A Comparative Safety Analysis of Medicines Based on the UK Pharmacovigilance and General Practice Prescribing Data in England.,In Vivo,2022,36,2,780-800,doi: 10.21873/invivo.12765,6,0
Curtis HJ; MacKenna B; Reddy B; Walker AJ; Bacon S; Perera R; Goldacre B,Educational interventions delivered to prescribing advisers to influence primary care prescribing: a very low-cost pragmatic randomised trial using routine data from OpenPrescribing.net.,BMC Health Serv Res,2025,25,1,308,doi: 10.1186/s12913-024-11575-y,0,1
Anyanwu PE; Pouwels K; Walker A; Moore M; Majeed A; Hayhoe BWJ; Tonkin-Crine S; Borek A; Hopkins S; Mcleod M; Costelloe C,Investigating the mechanism of impact and differential effect of the Quality Premium scheme on antibiotic prescribing in England: a longitudinal study.,BJGP Open,2020,4,3,,pii: bjgpopen20X101052. doi: 10.3399/bjgpopen20X101052,4,0
Golder S; O'Connor K; Hennessy S; Gross R; Gonzalez-Hernandez G,Assessment of Beliefs and Attitudes About Statins Posted on Twitter: A Qualitative Study.,JAMA Netw Open,2020,3,6,e208953,doi: 10.1001/jamanetworkopen.2020.8953,41,0
Kalk NJ; Chiu CT; Sadoughi R; Baho H; Williams BD; Taylor D; Copeland CS,Fatalities associated with gabapentinoids in England (2004-2020).,Br J Clin Pharmacol,2022,88,8,3911-3917,doi: 10.1111/bcp.15352,6,0
Walker AJ; Croker R; Bacon S; Ernst E; Curtis HJ; Goldacre B,Is use of homeopathy associated with poor prescribing in English primary care? A cross-sectional study.,J R Soc Med,2018,111,5,167-174,doi: 10.1177/0141076818765779,3,1
Khan MU; Hasan SS,Socioeconomic status and prescribing of ADHD medications: a study of ICB-level data in England.,BMJ Ment Health,2025,28,1,,doi: 10.1136/bmjment-2024-301384,0,0
Martus I; MacKenna B; Rial W; Hayhurst J; Richards GC,"Private prescribing of controlled opioids in England, 2014-2021: a retrospective observational study.",Br J Gen Pract,2024,74,739,e126-e132,doi: 10.3399/BJGP.2023.0146,1,0
Sparrow EL; James S; Hussain K; Beers SA; Cragg MS; Bogdanov YD,Activation of GABA(A) receptors inhibits T cell proliferation.,PLoS One,2021,16,5,e0251632,doi: 10.1371/journal.pone.0251632,11,0
Hanlon P; Hannigan L; Rodriguez-Perez J; Fischbacher C; Welton NJ; Dias S; Mair FS; Guthrie B; Wild S; McAllister DA,Representation of people with comorbidity and multimorbidity in clinical trials of novel drug therapies: an individual-level participant data analysis.,BMC Med,2019,17,1,201,doi: 10.1186/s12916-019-1427-1,43,0
Hussain AZ; Paudyal V; Hadi MA,Impact of the COVID-19 Pandemic on the Prescribing Patterns of First-Line Antibiotics in English Primary Care: A Longitudinal Analysis of National Prescribing Dataset.,Antibiotics (Basel),2021,10,5,,doi: 10.3390/antibiotics10050591,18,0
Curtis H; Goldacre B,"Reply to Comment on 'Impact of NICE guidance on tamoxifen prescribing in England 2011-2017: an interrupted time series analysis"".",Br J Cancer,2018,119,5,658,doi: 10.1038/s41416-018-0226-3,0,0
Walker AJ; Curtis HJ; Croker R; Bacon S; Goldacre B,Measuring the Impact of an Open Web-Based Prescribing Data Analysis Service on Clinical Practice: Cohort Study on NHS England Data.,J Med Internet Res,2019,21,1,e10929,doi: 10.2196/10929,9,0
Graul EL; Stone PW; Massen GM; Hatam S; Adamson A; Denaxas S; Peters NS; Quint JK,"Determining prescriptions in electronic healthcare record data: methods for development of standardized, reproducible drug codelists.",JAMIA Open,2023,6,3,ooad078,doi: 10.1093/jamiaopen/ooad078,8,0
Postma LGM; Donyai P,The cooccurrence of heightened media attention and adverse drug reaction reports for hormonal contraception in the United Kingdom between 2014 and 2017.,Br J Clin Pharmacol,2021,87,4,1768-1777,doi: 10.1111/bcp.14563,2,0
Linton MJ; Jones T; Owen-Smith A; Payne RA; Coast J; Glynn J; Hollingworth W,Breaking bread: examining the impact of policy changes in access to state-funded provisions of gluten-free foods in England.,BMC Med,2018,16,1,119,doi: 10.1186/s12916-018-1106-7,3,0
Walker AJ; Bacon S; Curtis H; Croker R; MacKenna B; Goldacre B,"Six months on: NHS England needs to focus on dissemination, implementation and audit of its low-priority initiative.",J R Soc Med,2019,112,1,4-5,doi: 10.1177/0141076818808429,7,0
Smyth D; Croker R; Goldacre B,Pregabalin: what the patent litigation means for doctors and drug companies.,BMJ,2018,361,,k2318,doi: 10.1136/bmj.k2318,1,0
Wegwarth O; Hoffmann TC; Goldacre B; Spies C; Giese HA,General practitioners' risk literacy and real-world prescribing of potentially hazardous drugs: a cross-sectional study.,BMJ Qual Saf,2024,33,10,634-641,doi: 10.1136/bmjqs-2023-016979,0,0
Wang H; Pujos-Guillot E; Comte B; de Miranda JL; Spiwok V; Chorbev I; Castiglione F; Tieri P; Watterson S; McAllister R; de Melo Malaquias T; Zanin M; Rai TS; Zheng H,Deep learning in systems medicine.,Brief Bioinform,2021,22,2,1543-1559,doi: 10.1093/bib/bbaa237,16,0
Yu G; Tang EYH; Fu Y,Health Disparities and Comparison of Psychiatric Medication Use before and after the COVID-19 Pandemic Lockdown among General Practitioner Practices in the North East of England.,Int J Environ Res Public Health,2023,20,11,,doi: 10.3390/ijerph20116034,0,0
Atkins L; Chadborn T; Bondaronek P; Ashiru-Oredope D; Beech E; Herd N; de La Morinière V; González-Iraizoz M; Hopkins S; McNulty C; Sallis A,Content and Mechanism of Action of National Antimicrobial Stewardship Interventions on Management of Respiratory Tract Infections in Primary and Community Care.,Antibiotics (Basel),2020,9,8,,doi: 10.3390/antibiotics9080512,8,0
Okoli GN; Myles P; Murray-Thomas T; Shepherd H; Wong ICK; Edwards D,Use of Primary Care Data in Research and Pharmacovigilance: Eight Scenarios Where Prescription Data are Absent.,Drug Saf,2021,44,10,1033-1040,doi: 10.1007/s40264-021-01093-9,6,0
Ow NL; Sadek Attalla S; Davies G; Griffiths CJ; De Simoni A,Experiences and behaviours of patients with asthma requesting prescriptions from primary care during medication shortages linked to the COVID-19 lockdown: insights from a qualitative analysis of a UK asthma online community.,BJGP Open,2022,6,4,,pii: BJGPO.2021.0222. doi: 10.3399/BJGPO.2021.0222,1,0
Jones L; Jones AM,Suspected adverse drug reactions of the type 2 antidiabetic drug class dipeptidyl-peptidase IV inhibitors (DPP4i): Can polypharmacology help explain?,Pharmacol Res Perspect,2022,10,6,e01029,doi: 10.1002/prp2.1029,7,0
Khan T; Copsey B; Carder P; Johnson S; Imran M; Wang K; Alderson S,Overprescribing of potentially harmful medication: an observational study in England's general practice.,BJGP Open,2024,8,2,,pii: BJGPO.2023.0156. doi: 10.3399/BJGPO.2023.0156,0,0
O'Sullivan JW; Stevens S; Oke J; Hobbs FDR; Salisbury C; Little P; Goldacre B; Bankhead C; Aronson JK; Heneghan C; Perera R,Practice variation in the use of tests in UK primary care: a retrospective analysis of 16 million tests performed over 3.3 million patient years in 2015/16.,BMC Med,2018,16,1,229,doi: 10.1186/s12916-018-1217-1,15,0
Thayer N; White S; Frisher M,Use of path analysis to predict changes to community pharmacy and GP emergency hormonal contraception (EHC) provision in England.,BMJ Open,2022,12,11,e059039,doi: 10.1136/bmjopen-2021-059039,0,0
Cunningham C; Macdonald O; Schaffer A; Brown A; Wiedemann M; Higgins R; Bates C; Parry J; Fisher L; Curtis H; Mehrkar A; Hart LC; Hulme W; Speed V; Ward T; Croker R; Wood C; Walker A; Andrews C; Butler-Cole B; Evans D; Inglesby P; Dillingham I; Davy S; Bridges L; O'Dwyer T; Maude S; Smith R; Green A; Goldacre B; MacKenna B; Bacon S,Impact of the COVID-19 pandemic on antidepressant prescribing with a focus on people with learning disability and autism: an interrupted time series analysis in England using OpenSAFELY-TPP.,BMJ Ment Health,2025,28,1,,doi: 10.1136/bmjment-2024-301378,0,0
Cranfield E; Ashcroft E; Forget P,Mortality by opioid poisoning in children and teenagers and opioid prescriptions.,BMC Pediatr,2021,21,1,569,doi: 10.1186/s12887-021-03061-9,0,0
Barry CS; Walker VM; Burden C; Havdahl A; Davies NM,Genetic Insights Into Perinatal Outcomes of Maternal Antihypertensive Therapy During Pregnancy.,JAMA Netw Open,2024,7,8,e2426234,doi: 10.1001/jamanetworkopen.2024.26234,0,0
Chalitsios CV; McKeever TM; Langley TE; Shaw DE,Impact of COVID-19 on corticosteroids and antibiotics prescribing in England: an interrupted time series analysis.,J Public Health (Oxf),2021,43,3,517-520,doi: 10.1093/pubmed/fdab017,4,0
MacKenna B; Curtis HJ; Walker AJ; Bacon S; Croker R; Goldacre B,Suboptimal prescribing behaviour associated with clinical software design features: a retrospective cohort study in English NHS primary care.,Br J Gen Pract,2020,70,698,e636-e643,doi: 10.3399/bjgp20X712313,5,1
Graham S; Walker JL; Andrews N; Nitsch D; Parker EPK; McDonald H,Identifying markers of health-seeking behaviour and healthcare access in UK electronic health records.,BMJ Open,2024,14,9,e081781,doi: 10.1136/bmjopen-2023-081781,2,0
Donaldson M; Deaney C,Driving Sustainability in Asthma and COPD Management: Preventative Models and Green Prescribing in a Rural Primary Care Practice in England.,J Prim Care Community Health,2025,16,,21501319251334217,doi: 10.1177/21501319251334217,0,0
Hodgson S; Fecht D; Gulliver J; Iyathooray Daby H; Piel FB; Yip F; Strosnider H; Hansell A; Elliott P,"Availability, access, analysis and dissemination of small-area data.",Int J Epidemiol,2020,49 Suppl 1,Suppl 1,i4-i14,doi: 10.1093/ije/dyz051,5,0
Bryant OK; Man KKC; Jani YH; Wong ICK; Lau WCY,Antibiotic prescribing in general practice during COVID-19 and beyond.,Lancet Infect Dis,2023,23,1,32-33,doi: 10.1016/S1473-3099(22)00814-3,3,0
Sumpter JP; Margiotta-Casaluci L,Environmental Occurrence and Predicted Pharmacological Risk to Freshwater Fish of over 200 Neuroactive Pharmaceuticals in Widespread Use.,Toxics,2022,10,5,,doi: 10.3390/toxics10050233,5,0
Salim H; Jones AM,Angiotensin II receptor blockers (ARBs) and manufacturing contamination: A retrospective National Register Study into suspected associated adverse drug reactions.,Br J Clin Pharmacol,2022,88,11,4812-4827,doi: 10.1111/bcp.15411,4,0
Morley KI; Hocking L; Saunders CL; Bousfield JW; Bostock J; Brimicombe J; Burgoine T; Dawney J; Hofman J; Lee D; Mackett R; Phillips W; Sussex J; Morris S,Wellbeing Impact Study of High-Speed 2 (WISH2): Protocol for a mixed-methods examination of the impact of major transport infrastructure development on mental health and wellbeing.,PLoS One,2024,19,2,e0298701,doi: 10.1371/journal.pone.0298701,0,0
Curtis HJ; MacKenna B; Wiedemann M; Fisher L; Croker R; Morton CE; Inglesby P; Walker AJ; Morley J; Mehrkar A; Bacon SC; Hickman G; Evans D; Ward T; Davy S; Hulme WJ; Macdonald O; Conibere R; Lewis T; Myers M; Wanninayake S; Collison K; Drury C; Samuel M; Sood H; Cipriani A; Fazel S; Sharma M; Baqir W; Bates C; Parry J; Goldacre B; OpenSAFELY Collaborative,OpenSAFELY NHS Service Restoration Observatory 2: changes in primary care clinical activity in England during the COVID-19 pandemic.,Br J Gen Pract,2023,73,730,e318-e331,doi: 10.3399/BJGP.2022.0301,5,1
Schultze A; Walker AJ; MacKenna B; Morton CE; Bhaskaran K; Brown JP; Rentsch CT; Williamson E; Drysdale H; Croker R; Bacon S; Hulme W; Bates C; Curtis HJ; Mehrkar A; Evans D; Inglesby P; Cockburn J; McDonald HI; Tomlinson L; Mathur R; Wing K; Wong AYS; Forbes H; Parry J; Hester F; Harper S; Evans SJW; Quint J; Smeeth L; Douglas IJ; Goldacre B; OpenSAFELY Collaborative,Risk of COVID-19-related death among patients with chronic obstructive pulmonary disease or asthma prescribed inhaled corticosteroids: an observational cohort study using the OpenSAFELY platform.,Lancet Respir Med,2020,8,11,1106-1120,doi: 10.1016/S2213-2600(20)30415-X,145,0
Bell C; Hadi MA; Khanal S; Paudyal V,Prescribing patterns and costs associated with erectile dysfunction drugs in England: a time trend analysis.,BJGP Open,2021,5,2,,pii: bjgpopen20X101145. doi: 10.3399/bjgpopen20X101145,7,0
Mokbel K; Emblin K; Daniels R; Alghamdi F; Jackson L,A Time-varying Analysis of General Practice Prescribing in the COVID-19 Era: Lessons from Prescription Dynamics in a Pandemic.,In Vivo,2025,39,1,498-508,doi: 10.21873/invivo.13854,0,0
Fisher L; Curtis HJ; Croker R; Wiedemann M; Speed V; Wood C; Brown A; Hopcroft LEM; Higgins R; Massey J; Inglesby P; Morton CE; Walker AJ; Morley J; Mehrkar A; Bacon S; Hickman G; Macdonald O; Lewis T; Wood M; Myers M; Samuel M; Conibere R; Baqir W; Sood H; Drury C; Collison K; Bates C; Evans D; Dillingham I; Ward T; Davy S; Smith RM; Hulme W; Green A; Parry J; Hester F; Harper S; Cockburn J; O'Hanlon S; Eavis A; Jarvis R; Avramov D; Griffiths P; Fowles A; Parkes N; MacKenna B; Goldacre B,Eleven key measures for monitoring general practice clinical activity during COVID-19: A retrospective cohort study using 48 million adults' primary care records in England through OpenSAFELY.,Elife,2023,12,,,doi: 10.7554/eLife.84673,4,1
Barker E; Pocock J; Moss J; Hex N; Rankin J; Hudson R,The relationship between prescription rates of oral corticosteroids for respiratory diseases and deprivation in England.,NPJ Prim Care Respir Med,2024,34,1,3,doi: 10.1038/s41533-024-00362-1,0,0
Brown B; Smeeth L; van Staa T; Buchan I,Better care through better use of data in GP-patient partnerships.,Br J Gen Pract,2017,67,655,54-55,doi: 10.3399/bjgp17X688921,2,0
Unwin D; Delon C; Unwin J; Tobin S; Taylor R,What predicts drug-free type 2 diabetes remission? Insights from an 8-year general practice service evaluation of a lower carbohydrate diet with weight loss.,BMJ Nutr Prev Health,2023,6,1,46-55,doi: 10.1136/bmjnph-2022-000544,16,0
Liu M; MacKenna B; Feldman WB; Walker AJ; Avorn J; Kesselheim AS; Goldacre B,Projected spending for brand-name drugs in English primary care given US prices: a cross-sectional study.,J R Soc Med,2020,113,9,350-359,doi: 10.1177/0141076820918238,3,0
Johnson L; Cole F; Kinchin R; Francis A; Winiarek K; Hampshire K; Chazot P,Assessing the feasibility of the GOTT (Gabapentinoid and Opioid Tapering Toolkit) in a primary care setting in North-East England.,Br J Pain,2024,,,20494637241291534,doi: 10.1177/20494637241291534,0,0
Williamson EJ; Walker AJ; Bhaskaran K; Bacon S; Bates C; Morton CE; Curtis HJ; Mehrkar A; Evans D; Inglesby P; Cockburn J; McDonald HI; MacKenna B; Tomlinson L; Douglas IJ; Rentsch CT; Mathur R; Wong AYS; Grieve R; Harrison D; Forbes H; Schultze A; Croker R; Parry J; Hester F; Harper S; Perera R; Evans SJW; Smeeth L; Goldacre B,Factors associated with COVID-19-related death using OpenSAFELY.,Nature,2020,584,7821,430-436,doi: 10.1038/s41586-020-2521-4,3303,0
Walker AJ; Pretis F; Powell-Smith A; Goldacre B,Variation in responsiveness to warranted behaviour change among NHS clinicians: novel implementation of change detection methods in longitudinal prescribing data.,BMJ,2019,367,,l5205,doi: 10.1136/bmj.l5205,11,1
Anderson M; Francetic I,Adoption of clinical pharmacist roles in primary care: longitudinal evidence from English general practice.,Br J Gen Pract,2025,75,752,e173-e180,doi: 10.3399/BJGP.2024.0320,0,0
Zhong X; Pate A; Yang YT; Fahmi A; Ashcroft DM; Goldacre B; MacKenna B; Mehrkar A; Bacon SCJ; Massey J; Fisher L; Inglesby P; OpenSAFELY collaborative; Hand K; van Staa T; Palin V,The impact of COVID-19 on antibiotic prescribing in primary care in England: Evaluation and risk prediction of appropriateness of type and repeat prescribing.,J Infect,2023,87,1,1-11,doi: 10.1016/j.jinf.2023.05.010,6,0
Mackie SL; Brouwer E; Conway R; van der Geest KSM; Mehta P; Mollan SP; Neill L; Putman M; Robinson PC; Sattui SE,Clinical pathways for patients with giant cell arteritis during the COVID-19 pandemic: an international perspective.,Lancet Rheumatol,2021,3,1,e71-e82,doi: 10.1016/S2665-9913(20)30386-6,16,0
Crooks MG; Cummings H; Morice AH; Sykes D; Brooks S; Jackson A; Xu Y,Reducing short-acting beta-agonist use in asthma: Impact of national incentives on prescribing practices in England and the findings from SENTINEL Plus early adopter sites.,NPJ Prim Care Respir Med,2024,34,1,6,doi: 10.1038/s41533-024-00363-0,2,0
Anyanwu PE; Tonkin-Crine S; Borek A; Costelloe C,Investigating the mechanism of impact of the Quality Premium initiative on antibiotic prescribing in primary care practices in England: a study protocol.,BMJ Open,2019,9,8,e030093,doi: 10.1136/bmjopen-2019-030093,3,0
Alderson SL; Farragher TM; Willis TA; Carder P; Johnson S; Foy R,The effects of an evidence- and theory-informed feedback intervention on opioid prescribing for non-cancer pain in primary care: A controlled interrupted time series analysis.,PLoS Med,2021,18,10,e1003796,doi: 10.1371/journal.pmed.1003796,11,0
Sanderson T,A web tool for exploring the usage of medicines in hospitals in England.,Wellcome Open Res,2024,9,,147,doi: 10.12688/wellcomeopenres.20766.1,0,0
Orayj K,Trends in Parkinson's disease medication prescribing patterns in the UK: An interrupted time series analysis (2019-2024).,PLoS One,2025,20,5,e0324999,doi: 10.1371/journal.pone.0324999,0,0
Fu Y; Allen B; Batterham AM; Price C; Jones N; Martin D; Hex N; Maule E; Finch T; Newton JL; Ryan CG,"Digitally deployed, GP remote consultation video intervention that aims to reduce opioid prescribing in primary care: protocol for a mixed-methods evaluation.",BMJ Open,2023,13,2,e066158,doi: 10.1136/bmjopen-2022-066158,0,0
