Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"B Goldacre","Internal Reference Number/Short title:​​ OP-RECAP Date and Version No:​​ 28/09/18 v1",,"scholar.archive.org","","https://scholar.archive.org/work/2ervgpvhxna7jp5qxr5alcfyki/access/wayback/https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/13256657/LPPProtocolv1.pdf","",150,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,1,,"… On the OpenPrescribing.net site we display the total spend on these items for every practice and CCG in England (adjusted for population size), which can be broken down to show …","https://scholar.archive.org/work/2ervgpvhxna7jp5qxr5alcfyki/access/wayback/https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/13256657/LPPProtocolv1.pdf","https://scholar.google.com/scholar?q=related:wtzLD2pL3AoJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"D Parker, A Lie-Critchley","Improving benzodiazepine and z-drug prescribing",,"InnovAiT","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/17557380251327979","",180,"2025-06-30 21:06:11","","10.1177/17557380251327979","","",,,,,0,0.00,0,2,,"Background There has been a growing focus in recent years on improving the safe prescribing of drugs of dependence because of their potential for harm. Long-term benzodiazepine …","","https://scholar.google.com/scholar?q=related:HS8_kpNgUSsJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"NS Peters, JK Quint","Determining prescriptions in electronic healthcare record data: methods for development of standardized, reproducible drug codelists",,"scienceopen.com","","https://www.scienceopen.com/document_file/402ce677-0d99-402f-a47e-f59d34361c55/PubMedCentral/402ce677-0d99-402f-a47e-f59d34361c55.pdf","",251,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,2,,"… A user-friendly BNF resource is the OpenPrescribing30 interface utilizing raw data from UK National Health Service … OpenPrescribing. Published 2023. Accessed February 9, 2023. …","https://www.scienceopen.com/document_file/402ce677-0d99-402f-a47e-f59d34361c55/PubMedCentral/402ce677-0d99-402f-a47e-f59d34361c55.pdf","https://scholar.google.com/scholar?q=related:S-PhCtDPM5AJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"J Gibson, E Kontopantelis, M Sutton, A Boaz, P Little…","Relationship between research activity and the performance of English general practices",,"hypothesis","bjgp.org","https://bjgp.org/content/bjgp/early/2024/11/18/BJGP.2024.0111.full.pdf?versioned=true","",258,"2025-06-30 21:06:11","","","","",,,,,0,0.00,0,6,,"… OpenPrescribing database was used to create a measure of the proportion of antibiotics issued that were narrow- spectrum antibiotics, which is a recognised marker of quality of …","","https://scholar.google.com/scholar?q=related:6DRXYjMYiUEJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"N Vohra, MA Hadi, S Khanal, OP Kurmi, V Paudyal…","Author names and Affiliations",,"researchgate.net","","https://www.researchgate.net/profile/Saval-Khanal/publication/349416472_Impact_of_deprivation_dementia_prevalence_and_regional_demography_on_prescribing_of_antidementia_drugs_in_England_A_time_trend_analysis/links/6037728b92851c4ed595bc4d/Impact-of-deprivation-dementia-prevalence-and-regional-demography-on-prescribing-of-antidementia-drugs-in-England-A-time-trend-analysis.pdf","",285,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,6,,"Aim This study aimed to examine trends in prescribing of anti-dementia drugs in primary care in England between 2009-2019 and investigate the impact of deprivation, regional …","https://www.researchgate.net/profile/Saval-Khanal/publication/349416472_Impact_of_deprivation_dementia_prevalence_and_regional_demography_on_prescribing_of_antidementia_drugs_in_England_A_time_trend_analysis/links/6037728b92851c4ed595bc4d/Impact-of-deprivation-dementia-prevalence-and-regional-demography-on-prescribing-of-antidementia-drugs-in-England-A-time-trend-analysis.pdf","https://scholar.google.com/scholar?q=related:G9shwZ1KXd0J:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"N Tank, C Wood, A Ahankari, B Mackenna, A Walker…","Vitamin B",,"core.ac.uk","","https://core.ac.uk/download/pdf/640796821.pdf","",310,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,6,,"Background Traditionally, intramuscular vitamin B12 injections were considered by patients and clinicians the most effective treatment option for B12 deficiency. The improving …","https://core.ac.uk/download/pdf/640796821.pdf","https://scholar.google.com/scholar?q=related:ceNjHVjHAREJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"H Garthwaite, J Stewart, K King, K McGarry","Wilkes, Scott (2018) Ultrasound monitoring during first-cycle treatment with clomifene citrate: a national survey of compliance with NICE. Human Fertility. ISSN …",,"academia.edu","","https://www.academia.edu/download/84524907/2018_20Human_20Fertility_20US_20monitoring_20Clomifene.pdf","",322,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,4,,"The National Institute for Health and Care Excellence Clinical Guideline 156 advises that transvaginal ultrasonography (TVUS) should be used in the first cycle of treatment with …","https://www.academia.edu/download/84524907/2018_20Human_20Fertility_20US_20monitoring_20Clomifene.pdf","https://scholar.google.com/scholar?q=related:FkRws_IbIssJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"I Martus, B MacKenna, W Rial, J Hayhurst…","Private prescribing of controlled opioids in England, 2014–2021",,"bjgp.org","","https://bjgp.org/content/bjgp/early/2023/11/13/BJGP.2023.0146.full.pdf?versioned=true","",327,"2025-06-30 21:06:11","","","","",,,,,0,0.00,0,5,,"… and other services such as openprescribing.net who utilise NHS BSA data.This would … OpenPrescribing: normalised data and software tool to research trends in English NHS primary …","","https://scholar.google.com/scholar?q=related:nmGhGx9HUEgJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"V Sharma, NR Singh, T Kaur, IS Grover","Selected Abstracts from Pharmacology 2021",,"search.ebscohost.com","","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=03065251&asa=N&AN=154218844&h=DEtuNA6V5v%2FuYbhRmt37bLGnUGoeocW%2BTWvX5n4%2FXh2MajK7mr2jYHI39FR3FhTfeaX7rGzPr4oVc8OfOy7Bzw%3D%3D&crl=c","",339,"2025-06-30 21:06:11","","","","",,,,,0,0.00,0,4,,"Figure 1 shows changes between editions, with an exponential increase in new drugs greatly outweighing the removal of old drugs; 56% of drugs in edition 1 were still present in edition …","","https://scholar.google.com/scholar?q=related:5uma95RoTnAJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"N Garzón-Orjuela, A Garcia Pereira…","Design and Architecture of an Infrastructure for Visualising and Benchmarking Patient Data from General Practice (CARA)",,"Available at SSRN …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4670493","",348,"2025-06-30 21:06:11","","","","",,,,,0,0.00,0,3,,"Background: Irish general practice data is commonly stored in isolated systems (Patient Management Software (PMS)). PMS supports individual patient data storage but accessing and …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4670493","https://scholar.google.com/scholar?q=related:-kh4rhamj84J:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"PN Taylor","This is an Open Access document downloaded from ORCA, Cardiff University's institutional repository: http://orca. cf. ac. uk/119793/This is the author's …",,"","","","",349,"2025-06-30 21:06:11","CITATION","","","",,,,,0,0.00,0,1,,"","","https://scholar.google.com/scholar?q=related:2ypvIlKW3AAJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"C Martínez","Powering the UK's response to AMR",,"reform.uk","","https://reform.uk/wp-content/uploads/2020/09/AMR-final-draft-PDF.pdf","",396,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,1,,"… Idea 5: The Department for Health and Social Care should support the development and use of open source analytic tools, like OpenPrescribing, to enhance AMR surveillance and …","https://reform.uk/wp-content/uploads/2020/09/AMR-final-draft-PDF.pdf","https://scholar.google.com/scholar?q=related:RYRUo5N89NYJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"H Vornhagen, N Garzón-Orjuela, K Stasiewicz…","Action Design Research to Develop an Interactive Dashboard to Visualise and Compare Patient Data from Irish General Practice (CARA)",,"Available at SSRN …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4670509","",402,"2025-06-30 21:06:11","","","","",,,,,0,0.00,0,4,,"Background: Health information technology has increased worldwide, transforming health and healthcare delivery programmes in which information visualisation and visual analytics …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4670509","https://scholar.google.com/scholar?q=related:fLO7RRZK-EIJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"N Guideline","Description of technology",,"surreyccg.res-systems.net","","https://surreyccg.res-systems.net/PADFormularyV1/Content/Documents/2/CGM%20for%20Adults%20with%20Type%20II%20diabetes-%20briefing%20paper%20-%20June%202024.pdf","",413,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,1,,"Self-monitoring of blood glucose is an integral part of therapy in diabetes treated with insulin, it involves the measurement of blood glucose concentration by people with diabetes or …","https://surreyccg.res-systems.net/PADFormularyV1/Content/Documents/2/CGM%20for%20Adults%20with%20Type%20II%20diabetes-%20briefing%20paper%20-%20June%202024.pdf","https://scholar.google.com/scholar?q=related:j5SC6CVE2q0J:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"RM Joseph, RH Jack, R Morriss, RD Knaggs, C Hollis…","PROTOCOL: A cohort study examining the association between mirtazapine and mortality risk in adults with a diagnosis of depression",,"nottingham-repository.worktribe.com","","https://nottingham-repository.worktribe.com/output/5319824","",435,"2025-06-30 21:06:11","","","","",,,,,0,0.00,0,6,,"This protocol describes a cohort study comparing the risks of mortality and serious self-harm (suicide or near-fatal deliberate self-harm) between adults with depression prescribed …","https://nottingham-repository.worktribe.com/OutputFile/5388834","https://scholar.google.com/scholar?q=related:SUfFNQ1_TB4J:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"S Varntanian","Medicine Shortages in the UK: Scope, Causes and Consequences",,"researchgate.net","","https://www.researchgate.net/profile/Stefanos-Varntanian/publication/336899659_Medicine_Shortages_in_the_UK_Scope_Causes_and_Consequences/links/5db9a58092851c818018c2a6/Medicine-Shortages-in-the-UK-Scope-Causes-and-Consequences.pdf","",493,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,1,,"Medicine shortages have been a growing problem in Europe and are becoming a more prevalent issue in the UK. There is a constant increase not only in the number of medicines that …","https://www.researchgate.net/profile/Stefanos-Varntanian/publication/336899659_Medicine_Shortages_in_the_UK_Scope_Causes_and_Consequences/links/5db9a58092851c818018c2a6/Medicine-Shortages-in-the-UK-Scope-Causes-and-Consequences.pdf","https://scholar.google.com/scholar?q=related:2sF3BTAEb88J:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"H Miller, DP Flanagan","Management of gastro-oesophageal reflux in infants",,"InnovAiT","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/17557380251337331","",518,"2025-06-30 21:06:11","","10.1177/17557380251337331","","",,,,,0,0.00,0,2,,"Gastroesophageal reflux (GOR) and gastroesophageal reflux disease (GORD) in infants are common presentations to primary care, with the National Institute for Health and Care …","","https://scholar.google.com/scholar?q=related:XW8yur7NUbsJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"IJ Onakpoya, ET Thomas, J Lee, B Goldacre…","Benefits and harms of pregabalin in the management of neuropathic pain: a rapid systematic review and meta-analysis of randomized clinical trials",,"bmjopen.bmj.com","","https://bmjopen.bmj.com/content/bmjopen/9/1/e023600/DC2/embed/inline-supplementary-material-2.pdf?download=true","",521,"2025-06-30 21:06:11","","","","",,,,,0,0.00,0,5,,"… 5 OpenPrescribing.net. High-level prescribing trends for Pregabalin (BNF code 0408010AE) across all GP practices in NHS England, since August 2010. Available at: https:/…","","https://scholar.google.com/scholar?q=related:1p7NnIUWn1YJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"HJ Curtis, B MacKenna, R Croker, P Inglesby…","OpenSAFELY NHS Service Restoration Observatory 1",,"bjgp.org","","https://bjgp.org/content/bjgp/early/2021/11/08/BJGP.2021.0380.full.pdf?versioned=true","",524,"2025-06-30 21:06:11","","","","",,,,,0,0.00,0,5,,"Background The COVID-19 pandemic has disrupted healthcare activity. The NHS stopped non-urgent work in March 2020, later recommending services be restored to near-normal …","https://core.ac.uk/download/pdf/483866863.pdf","https://scholar.google.com/scholar?q=related:tt6_zYLw89MJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"W Sy","Übermäßige Todesfälle im Vereinigten Königreich: Midazolam und Euthanasie bei der COVID-19-Pandemie",,"world-scam.com","","https://world-scam.com/Files/excess-deaths-in-the-united-kingdom-midazolam-and-euthanasia-in-the-covid19-pandemic%20de.pdf","",526,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,1,,"Makrodaten während der COVID-19-Pandemie im Vereinigten Königreich (UK) weisen erhebliche Datenanomalien und Unstimmigkeiten mit bestehenden Erklärungen auf. In dieser …","https://world-scam.com/Files/excess-deaths-in-the-united-kingdom-midazolam-and-euthanasia-in-the-covid19-pandemic%20de.pdf","https://scholar.google.com/scholar?q=related:J81UP_T96yoJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"G Barnes, S Bolaji, P Huntley, H Stevens, C Beck","MENTAL HEALTH AND WELL BEING NEEDS ASSESSMENT",,"nelincsdata.net","","https://www.nelincsdata.net/wp-content/uploads/NELC_Mental_Health_and_Wellbeing_Report_2019.pdf","",534,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,5,,"Mental health is “a state of wellbeing in which every individual realises his or her own potential, can cope with the normal stresses of life, can work productively and fruitfully, and is able …","https://www.nelincsdata.net/wp-content/uploads/NELC_Mental_Health_and_Wellbeing_Report_2019.pdf","https://scholar.google.com/scholar?q=related:t8tvS5XX11oJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"PJ Andrews, H Thompson","Digoxin: monitoring, limitations of its use, and managing toxicity",,"bjcardio.co.uk","","https://bjcardio.co.uk/2024/08/digoxin-monitoring-limitations-of-its-use-and-managing-toxicity/","",576,"2025-06-30 21:06:11","HTML","","","",,,,,0,0.00,0,2,,"This educational supplement has been solely funded by a grant from BTG Pharmaceuticals (a SERB company). BTG were not involved in the development of the programme, content, …","https://bjcardio.co.uk/2024/08/digoxin-monitoring-limitations-of-its-use-and-managing-toxicity/","https://scholar.google.com/scholar?q=related:l8IckZ-ZpnMJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"W Sy","Nadmierna liczba zgonów w Wielkiej Brytanii: Midazolam i eutanazja podczas pandemii COVID-19",,"world-scam.com","","https://world-scam.com/Files/excess-deaths-in-the-united-kingdom-midazolam-and-euthanasia-in-the-covid19-pandemic%20pl.pdf","",586,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,1,,"Wykazano, że dane makro podczas pandemii COVID-19 w Wielkiej Brytanii (UK) zawierają znaczące anomalie i niespójności z istniejącymi wyjaśnieniami. W artykule wykazano, że …","https://world-scam.com/Files/excess-deaths-in-the-united-kingdom-midazolam-and-euthanasia-in-the-covid19-pandemic%20pl.pdf","https://scholar.google.com/scholar?q=related:YnXZxUuoSbwJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"S Finnikin, BH Willis, R Ryan, T Evans, T Marshall","Factors predicting statin prescribing for primary prevention",,"bjgp.org","","https://bjgp.org/content/bjgp/early/2021/02/08/bjgp20X714065.full.pdf?versioned=true","",595,"2025-06-30 21:06:11","","","","",,,,,0,0.00,0,5,,"… OpenPrescribing.net. Total prescribing for simvastatin + atorvastatin + rosuvastatin calcium … https://openprescribing. net/analyse/#%20org=regional_team&numIds=0212000Y0,%20 …","http://pure-oai.bham.ac.uk/ws/files/114198055/FinnikinS2020Factors.pdf","https://scholar.google.com/scholar?q=related:m9c-piiOe24J:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"АВ Щеголев","Эффективность послеоперационного обезболивания за счёт применения иммерсивной среды",,"almazovcentre.ru","","http://www.almazovcentre.ru/wp-content/uploads/%D0%94%D0%B8%D1%81%D1%81%D0%B5%D1%80%D1%82%D0%B0%D1%86%D0%B8%D1%8F-06.05.2024.pdf","",598,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,1,,"Ежегодно в мире выполняют около 312 миллионов хирургических вмешательств. С каждым годом это число возрастает приблизительно на 5%. Основная цель–устранение …","http://www.almazovcentre.ru/wp-content/uploads/%D0%94%D0%B8%D1%81%D1%81%D0%B5%D1%80%D1%82%D0%B0%D1%86%D0%B8%D1%8F-06.05.2024.pdf","https://scholar.google.com/scholar?q=related:nMMLZEqP0JMJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"G Pharmacogenomics","Pharmacogenomics of GPCR Drug Targets",,"core.ac.uk","","https://core.ac.uk/download/pdf/144130868.pdf","",600,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,1,,"Natural genetic variation in the human genome is a cause of individual differences in responses to medications and is an underappreciated burden on public health. Although 108 G-…","https://core.ac.uk/download/pdf/144130868.pdf","https://scholar.google.com/scholar?q=related:MWgIf8SEffIJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"N Akter, E Kulinskaya, N Steel, I Bakbergenuly","The effect of Hormone Replacement Therapy on the survival of UK women: a retrospective cohort study",,"actuaries.org.uk","","https://www.actuaries.org.uk/system/files/field/document/HRT%20preprint.pdf","",622,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,4,,"OBJECTIVE: To estimate the effect of hormone replacement therapy (HRT) on the hazards of overall and age-specific all-cause mortality in women aged 46 to 65 at first prescription. …","https://www.actuaries.org.uk/system/files/field/document/HRT%20preprint.pdf","https://scholar.google.com/scholar?q=related:uMNNIxMNwUMJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
1,"DA McAllister, S Read, J Kerssens, S Livingstone…","Incidence of hospitalisation for heart failure and case-fatality among 3.25 million people with and without diabetes",,"Circulation","pure.ed.ac.uk","https://www.pure.ed.ac.uk/ws/files/65081825/Incidence_of_hospitalisation_for_heart_failure....pdf","https://scholar.google.com/scholar?cites=12890413096131260725&as_sdt=2005&sciodt=0,5&hl=en",629,"2025-06-30 21:06:11","PDF","","","",,,,,1,0.00,0,5,,"Background—Recent clinical trials of new glucose-lowering treatments have drawn attention to the importance of hospitalisation for heart failure as a complication of diabetes. However, …","https://www.pure.ed.ac.uk/ws/files/65081825/Incidence_of_hospitalisation_for_heart_failure....pdf","https://scholar.google.com/scholar?q=related:NXHyImry47IJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
3,"ODO Anticoagulants","prescribing [Internet].[cited 2017 Mar 13]",,"","","","https://scholar.google.com/scholar?cites=11390762851898554008&as_sdt=2005&sciodt=0,5&hl=en",633,"2025-06-30 21:06:11","CITATION","","","",,,,,3,0.00,3,1,,"","","https://scholar.google.com/scholar?q=related:mPYghHYeFJ4J:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
